,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
0,1,0,0,-6532.16,-27.9582,0.0,1.6844299999999999,11
1,1,1,1,-6532.57,-28.28,0.00147776,1.7957900000000002,11
2,1,2,2,-6534.33,-28.6841,0.000502143,1.78657,11
3,1,3,3,-6536.55,-28.8598,0.00232168,1.8041,11
4,1,4,4,-6536.64,-28.8393,0.000251072,1.83855,11
5,1,5,5,-6537.56,-29.639,0.000960111,1.9550299999999998,11
6,1,6,6,-6537.95,-30.1544,0.00152194,2.01139,11
7,1,7,7,-6536.9,-29.4827,0.00210813,1.97387,11
8,1,8,8,-6534.95,-29.8756,0.00152969,1.97292,11
9,1,10,9,-6536.13,-29.6374,0.00390202,2.08534,11
10,1,14,10,-6536.37,-29.636,0.00315894,2.1096,11
11,1,17,11,-6534.38,-28.857,0.00574159,1.97534,11
12,1,18,12,-6535.32,-29.785,0.00333675,2.05728,11
13,1,19,13,-6533.26,-29.5428,0.00355723,2.11586,11
0,1,0,0,-6528.79,-27.4047,0.0152184,0.814303,38
1,1,1,1,-6529.06,-27.4019,0.018746000000000002,0.817749,38
2,1,2,2,-6532.05,-27.3146,0.0212426,0.8137439999999999,38
3,1,3,3,-6532.82,-27.109,0.020411000000000002,1.01278,38
4,1,4,4,-6531.05,-27.4068,0.0210056,1.0536,38
5,1,10,5,-6535.07,-27.1935,0.0186472,0.999448,38
6,1,11,6,-6535.52,-26.9448,0.017835,1.15696,38
7,1,13,7,-6533.04,-27.7102,0.0211638,0.9057350000000001,38
8,1,19,8,-6531.64,-27.498,0.0185478,0.8678950000000001,38
0,1,0,0,-6528.14,-30.2507,0.00778022,1.50429,9
1,1,1,1,-6529.48,-29.8272,0.00858947,1.4011,9
2,1,5,2,-6531.58,-30.0648,0.00915016,1.43187,9
3,1,7,3,-6529.42,-30.0498,0.010050100000000001,1.3823299999999998,9
4,1,8,4,-6529.58,-30.3092,0.00982776,1.52124,9
5,1,9,5,-6530.42,-30.184,0.00927808,1.6629099999999999,9
6,1,13,6,-6530.88,-30.53,0.00843028,1.64562,9
7,1,15,7,-6528.74,-31.3402,0.00718463,1.59741,9
8,1,16,8,-6531.32,-31.093000000000004,0.00578314,1.55349,9
9,1,19,9,-6534.44,-30.6386,0.00614817,1.64914,9
10,1,20,10,-6535.04,-32.0409,0.00698897,1.68195,9
0,1,0,0,-6540.2,-24.5721,0.00277828,0.45726700000000003,26
1,1,4,1,-6539.05,-25.4329,0.00299337,0.373577,26
2,1,7,2,-6537.6,-25.2146,0.00299337,0.299279,26
3,1,9,3,-6539.33,-24.6583,0.00230529,0.376146,26
4,1,11,4,-6536.93,-25.2548,0.00321324,0.340605,26
5,1,13,5,-6535.98,-25.205,0.00379076,0.323435,26
6,1,14,6,-6536.67,-25.3446,0.00296012,0.307605,26
7,1,17,7,-6539.52,-25.6563,0.00498508,0.324864,26
8,1,18,8,-6541.26,-25.7383,0.00803891,0.27136,26
0,1,0,0,-6518.09,-31.3459,0.013922200000000001,2.0662599999999998,19
1,1,1,1,-6523.37,-30.0197,0.0163752,1.92355,19
2,1,2,2,-6527.47,-26.8133,0.0102956,0.8547049999999999,19
3,1,3,3,-6527.25,-28.1414,0.00965355,1.0291299999999999,19
4,1,5,4,-6532.19,-28.4787,0.00833992,0.871323,19
5,1,6,5,-6531.04,-28.9639,0.00776919,0.940416,19
6,1,11,6,-6532.63,-28.8992,0.00711961,0.949365,19
7,1,12,7,-6529.58,-28.0934,0.00773911,1.1342299999999998,19
8,1,13,8,-6533.34,-28.7231,0.00861024,1.0149,19
9,1,14,9,-6535.49,-28.6148,0.00782819,0.967777,19
10,1,15,10,-6539.99,-28.8641,0.00846543,1.09107,19
11,1,17,11,-6541.15,-28.9649,0.00891816,1.0751700000000002,19
12,1,18,12,-6541.3,-28.6587,0.00820957,1.19812,19
13,1,19,13,-6536.77,-27.275,0.00805243,1.46966,19
14,1,20,14,-6538.81,-27.7234,0.00840855,1.35895,19
0,1,0,0,-6531.38,-27.7742,0.000259186,1.57958,13
1,1,1,1,-6533.76,-28.2351,0.00154735,1.72512,13
2,1,2,2,-6535.86,-28.7969,0.000710025,1.9797799999999999,13
3,1,3,3,-6537.21,-29.2126,0.00102121,1.8595599999999999,13
4,1,4,4,-6536.07,-29.5152,0.00100568,2.01905,13
5,1,5,5,-6539.77,-29.7444,0.00101345,1.9881799999999998,13
6,1,8,6,-6539.07,-29.6694,0.00225738,2.02794,13
7,1,9,7,-6538.13,-29.6971,0.00162723,2.06162,13
8,1,11,8,-6536.36,-30.2058,0.000917209,2.19467,13
9,1,12,9,-6534.58,-30.555,0.00183442,2.38135,13
10,1,14,10,-6533.58,-30.3586,0.00137581,2.32337,13
11,1,16,11,-6531.66,-30.8378,0.00183442,2.34991,13
12,1,17,12,-6536.37,-30.1456,0.00116863,2.24149,13
13,1,18,13,-6532.58,-30.3948,0.00162723,2.2399,13
14,1,20,14,-6532.1,-30.0271,0.000917209,2.23948,13
0,1,0,0,-6528.79,-27.4047,0.0152184,0.814303,39
1,1,1,1,-6532.31,-28.3041,0.016228799999999998,0.716406,39
2,1,8,2,-6528.3,-27.9503,0.017199799999999998,0.7020689999999999,39
3,1,10,3,-6533.62,-27.5955,0.014940799999999999,0.7995260000000001,39
4,1,11,4,-6534.29,-27.0674,0.0159712,0.8545950000000001,39
5,1,13,5,-6536.26,-27.7658,0.014683199999999999,0.916336,39
6,1,14,6,-6534.63,-27.2781,0.01288,1.06208,39
7,1,15,7,-6538.1,-27.4141,0.01288,0.9798290000000001,39
8,1,16,8,-6537.89,-27.5071,0.0123648,1.0554299999999999,39
9,1,17,9,-6539.08,-26.9657,0.012622399999999999,1.00193,39
10,1,19,10,-6536.75,-26.7275,0.013137600000000001,0.972327,39
11,1,20,11,-6537.05,-27.0812,0.0136528,0.8567899999999999,39
0,1,0,0,-6523.96,-28.1473,0.019254300000000002,2.3568700000000002,43
1,1,1,1,-6527.36,-28.403000000000002,0.0141035,2.4382099999999998,43
