,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
0,1,0,0,-6520.13,-29.5218,0.0,1.81751,11
1,1,1,1,-6522.66,-29.8395,0.0,1.7162,11
2,1,2,2,-6522.36,-29.4946,0.000345543,1.72318,11
3,1,3,3,-6523.7,-29.8146,0.0,1.83447,11
4,1,4,4,-6522.83,-29.8677,0.0,2.00195,11
5,1,5,5,-6526.1,-29.4171,0.000691086,1.67944,11
6,1,9,6,-6527.15,-29.4543,0.0,1.8298400000000001,11
7,1,10,7,-6527.0,-29.5594,0.000345543,1.73417,11
8,1,11,8,-6527.77,-29.2035,0.0,1.80762,11
9,1,12,9,-6527.78,-28.9748,0.000477065,2.2301,11
10,1,13,10,-6527.09,-28.9948,0.000523083,2.0539099999999997,11
11,1,14,11,-6526.19,-28.8832,0.000738607,2.18412,11
12,1,15,12,-6528.43,-29.2397,0.0,1.8768599999999998,11
13,1,16,13,-6526.71,-29.049,0.000261542,1.99925,11
14,1,17,14,-6526.91,-28.8135,0.0,1.81847,11
15,1,18,15,-6528.48,-28.9753,0.000345543,1.7567099999999998,11
0,1,0,0,-6507.93,-22.4017,0.017115799999999997,2.51476,38
1,1,1,1,-6514.46,-24.683000000000003,0.017194900000000003,2.5509,38
2,1,2,2,-6514.08,-25.1602,0.0155952,2.43858,38
3,1,3,3,-6516.2,-25.3577,0.016453799999999998,2.38919,38
4,1,4,4,-6523.86,-25.2953,0.0153885,2.5047200000000003,38
5,1,6,5,-6522.5,-25.2373,0.0161483,2.40122,38
6,1,7,6,-6523.12,-25.3265,0.017048,2.38637,38
7,1,9,7,-6527.16,-24.7958,0.017000599999999998,2.36872,38
8,1,10,8,-6527.33,-24.3882,0.014009,2.27712,38
9,1,11,9,-6528.01,-24.276999999999997,0.0182511,2.58567,38
10,1,12,10,-6527.97,-24.5228,0.0190108,2.62112,38
11,1,13,11,-6527.75,-23.8435,0.0170855,3.02135,38
12,1,17,12,-6526.71,-23.4906,0.0189131,2.9121599999999996,38
13,1,18,13,-6527.2,-23.2662,0.0174394,3.10029,38
14,1,19,14,-6528.84,-23.4793,0.015840200000000002,3.29705,38
0,1,0,0,-6545.93,-29.1406,0.0006926580000000001,1.7066,9
1,1,1,1,-6548.25,-29.6191,0.00034632900000000004,1.87683,9
2,1,2,2,-6548.76,-30.0211,0.000608466,2.02068,9
