,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
0,1,0,0,-6533.1,-26.1134,0.0008801639999999999,1.90986,11
1,1,1,1,-6532.18,-26.0008,0.0008891330000000001,1.78027,11
2,1,2,2,-6534.39,-26.3452,0.00165647,1.78282,11
3,1,3,3,-6534.03,-26.1242,0.000898103,1.6881400000000002,11
4,1,4,4,-6535.44,-26.4796,0.00215296,1.8120900000000002,11
5,1,5,5,-6537.04,-26.1496,0.000290398,1.71134,11
6,1,6,6,-6536.68,-26.6937,0.00166544,1.761,11
7,1,7,7,-6536.75,-26.6397,0.0012728,1.8163200000000002,11
8,1,8,8,-6539.41,-26.5885,0.00187154,1.7428599999999999,11
9,1,10,9,-6539.05,-26.3564,0.000598735,1.66694,11
10,1,11,10,-6537.29,-26.163,0.000299368,1.6022,11
11,1,12,11,-6539.0,-26.8662,0.000589766,1.97538,11
12,1,13,12,-6540.01,-25.4302,0.00144307,2.27285,11
13,1,15,13,-6540.33,-26.6576,0.0015890999999999998,2.34213,11
14,1,16,14,-6539.61,-26.5183,0.00181147,2.1644,11
15,1,17,15,-6540.2,-26.0433,0.00340058,2.31255,11
0,1,0,0,-6523.22,-20.881,0.017138499999999997,1.00815,38
1,1,1,1,-6531.34,-20.6762,0.017161799999999998,1.1223100000000001,38
2,1,2,2,-6531.39,-20.477999999999998,0.0147066,1.09441,38
3,1,3,3,-6533.96,-19.9845,0.014591100000000001,1.24996,38
4,1,4,4,-6537.07,-19.9893,0.0146606,1.28488,38
5,1,5,5,-6541.21,-20.3904,0.0143361,1.09348,38
6,1,6,6,-6541.79,-20.5125,0.0155404,1.04492,38
7,1,9,7,-6542.51,-20.225,0.0161425,0.958937,38
8,1,12,8,-6540.56,-20.3063,0.0168835,0.8621989999999999,38
9,1,14,9,-6540.19,-20.5236,0.0168141,0.919536,38
10,1,15,10,-6541.55,-20.5935,0.0166752,0.929818,38
11,1,16,11,-6543.09,-20.1091,0.0160731,1.04027,38
12,1,17,12,-6542.5,-20.7367,0.0172079,0.9235,38
13,1,20,13,-6544.09,-20.8084,0.017693900000000002,0.831478,38
0,1,0,0,-6535.09,-26.1313,0.00191382,2.41295,9
1,1,5,1,-6534.95,-26.1754,0.00192281,2.2345599999999997,9
2,1,7,2,-6533.82,-25.8174,0.00294612,2.22136,9
3,1,9,3,-6536.93,-25.6992,0.00298933,2.40895,9
4,1,12,4,-6534.08,-25.5757,0.00299832,2.7822400000000003,9
5,1,14,5,-6537.07,-25.6443,0.00322901,2.50657,9
6,1,15,6,-6539.28,-25.8252,0.00209882,2.15452,9
7,1,17,7,-6538.86,-25.9919,0.00311315,2.25603,9
8,1,18,8,-6538.39,-25.8746,0.003589,2.15279,9
9,1,20,9,-6541.12,-26.1582,0.00252247,2.00394,9
0,1,0,0,-6529.36,-25.5578,0.00177972,1.93387,26
1,1,1,1,-6531.18,-26.1999,0.0013651,1.83912,26
2,1,3,2,-6533.35,-26.4519,0.00107299,1.74752,26
3,1,4,3,-6535.11,-26.4741,0.000988191,1.6949400000000001,26
4,1,5,4,-6536.11,-26.2597,0.00151199,2.01657,26
5,1,6,5,-6535.59,-25.811,0.00293016,2.09639,26
6,1,9,6,-6535.72,-26.1693,0.00273355,2.2096299999999998,26
7,1,11,7,-6535.64,-26.305999999999997,0.00273355,2.72765,26
8,1,12,8,-6533.91,-27.2768,0.00402287,3.04446,26
9,1,13,9,-6536.09,-25.965,0.0018995999999999998,2.3877,26
10,1,14,10,-6537.31,-26.166,0.00380654,2.5029,26
11,1,15,11,-6535.79,-26.1624,0.0011955,2.0390900000000003,26
12,1,16,12,-6537.58,-26.6066,0.000593241,1.87704,26
