,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
0,1,0,0,-6509.65,-32.9671,0.00103133,1.6177700000000002,11
1,1,1,1,-6519.64,-32.993,0.00103133,1.6439,11
2,1,2,2,-6525.4,-32.9086,0.00103133,1.56128,11
3,1,3,3,-6532.47,-31.8457,0.00103133,1.19134,11
4,1,4,4,-6530.42,-29.5387,0.00154699,1.1352200000000001,11
5,1,5,5,-6538.76,-31.395,0.0007734969999999999,1.10229,11
6,1,6,6,-6536.03,-32.4893,0.00103133,1.40224,11
7,1,7,7,-6538.46,-33.0137,0.00103133,1.39964,11
8,1,8,8,-6538.04,-32.644,0.00128916,1.3150600000000001,11
9,1,9,9,-6540.59,-32.3063,0.00103133,1.21894,11
10,1,10,10,-6542.48,-31.7155,0.00128916,1.23124,11
11,1,11,11,-6539.81,-31.5701,0.00103133,1.22355,11
12,1,12,12,-6539.78,-32.2402,0.0007734969999999999,1.26678,11
13,1,17,13,-6541.53,-32.2481,0.00103133,1.46444,11
14,1,19,14,-6540.04,-31.381,0.00154699,1.42038,11
0,1,0,0,-6514.23,-23.1976,0.00257625,0.8541040000000001,38
1,1,1,1,-6520.17,-23.8197,0.00290642,0.8168850000000001,38
2,1,2,2,-6523.72,-24.2993,0.00231862,0.739092,38
3,1,3,3,-6524.01,-24.7995,0.002061,0.645598,38
4,1,4,4,-6527.27,-24.846,0.0026488,0.731254,38
5,1,14,5,-6530.68,-25.1165,0.00349422,0.724723,38
6,1,15,6,-6526.57,-24.8953,0.00349422,0.6514409999999999,38
7,1,18,7,-6526.43,-24.5947,0.00297897,0.661179,38
8,1,19,8,-6522.69,-24.0805,0.00392148,0.9132520000000001,38
0,1,0,0,-6530.88,-29.4279,0.00282999,0.81162,9
1,1,9,1,-6532.18,-31.0515,0.00155209,1.13527,9
2,1,10,2,-6534.06,-30.0688,0.00282999,0.8459049999999999,9
3,1,12,3,-6533.06,-27.1655,0.00428458,0.644151,9
4,1,13,4,-6533.42,-27.0362,0.00350854,0.614821,9
5,1,16,5,-6534.04,-31.2955,0.00129341,0.939368,9
6,1,18,6,-6538.37,-30.9153,0.00103472,1.09096,9
7,1,20,7,-6544.2,-30.9599,0.00103472,1.02721,9
0,1,0,0,-6530.0,-31.3167,0.0046258,1.39235,26
1,1,1,1,-6529.9,-31.2571,0.0046258,1.20366,26
2,1,2,2,-6533.66,-32.4126,0.00445954,1.41911,26
3,1,3,3,-6538.89,-32.0623,0.0046258,1.32487,26
4,1,6,4,-6537.74,-32.0787,0.00658395,1.4110200000000002,26
5,1,14,5,-6537.89,-32.1947,0.00485199,1.46288,26
6,1,15,6,-6537.59,-32.3894,0.0046104,1.32633,26
7,1,16,7,-6536.85,-32.1085,0.00411182,1.36529,26
8,1,17,8,-6531.85,-24.8766,0.00900597,0.967734,26
9,1,18,9,-6536.78,-32.0643,0.00409642,1.2923799999999999,26
10,1,19,10,-6537.46,-31.5285,0.0046027,1.26468,26
11,1,20,11,-6535.73,-31.4701,0.00484429,1.42388,26
0,1,0,0,-6534.2,-31.6923,0.0012881,1.28277,19
1,1,1,1,-6538.19,-32.0193,0.000515242,1.58962,19
2,1,2,2,-6540.47,-32.1298,0.00206097,1.40136,19
3,1,3,3,-6540.0,-32.1751,0.0007728619999999999,1.42135,19
4,1,4,4,-6541.74,-31.8965,0.00154572,1.32512,19
5,1,6,5,-6541.33,-32.4654,0.00154572,1.53809,19
6,1,9,6,-6542.56,-31.7905,0.00154572,1.3044200000000001,19
7,1,10,7,-6538.97,-32.6735,0.00154572,1.49911,19
8,1,13,8,-6539.78,-31.895,0.00257621,1.34685,19
9,1,14,9,-6540.06,-32.0212,0.00257621,1.4785,19
10,1,15,10,-6543.65,-32.6804,0.00257621,1.4937799999999999,19
11,1,17,11,-6542.78,-32.4934,0.00309145,1.52966,19
12,1,18,12,-6543.48,-32.022,0.00360669,1.43354,19
13,1,19,13,-6543.77,-32.6341,0.00231859,1.53047,19
0,1,0,0,-6509.65,-32.9671,0.00103133,1.6177700000000002,13
1,1,1,1,-6523.73,-33.7432,0.00103133,1.82792,13
2,1,2,2,-6526.28,-33.1687,0.00206266,2.02787,13
3,1,3,3,-6535.22,-33.3406,0.00103133,1.6817900000000001,13
4,1,4,4,-6537.46,-33.0535,0.00103133,1.64116,13
5,1,5,5,-6539.08,-31.629,0.0007734969999999999,1.27136,13
6,1,7,6,-6539.39,-32.102,0.00154699,1.47813,13
7,1,9,7,-6538.55,-32.8812,0.00128916,1.61285,13
8,1,10,8,-6538.28,-32.3442,0.00154699,1.2955,13
9,1,13,9,-6540.1,-32.0781,0.0007734969999999999,1.18472,13
10,1,14,10,-6535.81,-31.5794,0.00154699,1.07254,13
11,1,15,11,-6535.91,-32.5545,0.00154699,1.38834,13
12,1,16,12,-6535.71,-31.6263,0.0007734969999999999,1.10037,13
13,1,17,13,-6537.63,-32.5776,0.00103133,1.38639,13
14,1,20,14,-6535.94,-33.3693,0.000257832,1.5826,13
0,1,0,0,-6515.68,-24.6558,0.00684804,0.761204,39
1,1,1,1,-6515.4,-25.5849,0.00710458,0.647378,39
2,1,5,2,-6511.91,-25.3399,0.00332725,1.11693,39
3,1,8,3,-6512.93,-26.5061,0.00373594,0.6697,39
